name:M1c
items:100
9,4
4,4
8,9
8,5
4,7
1,3
9,5
3,4
3,6
9,7
9,4
8,6
2,6
4,3
4,1
6,1
6,8
8,7
7,5
7,2
7,7
7,6
5,1
2,3
6,9
9,3
7,4
2,2
5,3
4,9
9,2
8,7
5,2
7,1
4,2
9,3
3,1
3,2
6,2
9,8
8,2
6,6
5,9
6,9
6,2
4,6
5,9
5,6
4,3
1,4
2,8
4,1
1,6
2,2
5,6
7,6
7,4
8,4
2,6
8,9
9,4
9,2
4,6
7,6
3,1
4,3
7,9
9,7
4,4
3,9
6,4
7,4
7,7
2,7
3,2
9,7
5,4
5,2
4,6
1,7
1,1
4,1
7,3
4,2
7,1
2,7
6,7
5,6
5,1
9,5
5,7
7,7
4,4
1,2
8,3
3,2
1,5
5,4
7,6
4,4
objects:16
20,20
20,20
30,10
30,10
30,10
10,10
10,10
10,10
30,20
30,20
20,10
20,10
20,10
40,10
40,10
40,10
