name:M3d
items:150
10,22
3,19
29,29
19,16
22,22
29,10
6,25
3,16
25,16
3,22
16,22
25,29
10,25
16,13
19,3
22,3
6,22
3,6
3,22
22,13
13,25
19,29
16,10
6,3
29,6
13,10
10,25
10,29
6,10
25,10
25,25
19,25
6,3
13,6
6,16
19,29
29,16
22,16
29,29
25,25
13,6
6,10
22,29
3,22
25,19
25,22
22,6
19,13
29,29
22,3
3,16
13,10
29,6
10,16
29,22
3,6
10,22
25,19
10,25
29,16
19,25
25,10
13,13
19,3
6,13
29,10
29,6
25,6
16,29
19,6
19,19
3,13
6,25
10,10
19,22
19,29
13,25
22,25
16,6
3,3
13,22
16,29
3,22
3,19
29,22
22,16
25,10
19,19
25,10
22,16
3,13
19,16
13,13
10,3
25,19
29,13
16,13
13,25
10,22
16,19
3,19
10,13
25,29
19,29
3,19
10,13
3,16
10,25
29,25
6,19
19,10
10,25
22,10
10,25
16,6
19,29
19,3
6,10
10,6
29,16
3,3
10,13
16,16
29,13
10,19
13,16
16,29
25,25
19,25
10,25
10,29
22,29
22,6
6,16
3,3
25,16
3,6
25,6
25,25
10,19
29,25
10,25
3,16
3,3
22,13
6,13
6,10
6,22
16,3
25,13
objects:20
60,50
60,50
60,50
30,100
30,100
30,100
40,30
40,30
40,30
60,100
60,100
60,100
60,100
30,60
30,60
30,60
30,60
30,120
30,120
30,120
