name:M3b
items:150
13,16
26,16
13,16
16,23
13,20
23,3
20,3
16,26
16,23
26,13
13,16
20,29
13,7
23,7
20,29
10,3
20,3
26,7
20,26
26,23
7,3
20,23
3,7
20,7
10,13
20,13
26,26
20,16
29,26
20,7
10,13
26,7
13,3
10,20
10,16
3,10
7,26
26,10
26,29
20,23
26,13
26,10
10,10
29,16
3,3
13,16
10,3
10,29
7,7
3,3
29,13
13,13
26,29
26,16
13,23
3,10
29,16
10,13
10,20
29,23
29,13
26,20
7,20
13,10
13,3
20,3
20,26
26,23
23,16
23,7
23,23
23,20
16,3
7,10
20,29
29,10
23,13
7,7
16,10
13,29
29,7
26,23
16,7
23,3
13,7
29,10
10,3
10,7
20,7
29,26
26,7
20,20
16,29
20,29
20,7
13,20
16,29
16,20
13,10
3,13
7,26
13,3
3,20
7,7
16,20
23,20
23,13
26,13
7,20
26,29
29,13
29,7
13,20
23,20
10,3
13,10
23,29
29,23
13,13
10,29
20,13
23,13
23,23
7,23
10,7
29,23
16,13
16,7
13,20
3,23
3,3
13,3
23,10
13,7
23,3
7,23
20,23
16,20
16,3
29,16
16,23
23,23
13,13
3,7
26,10
10,7
3,16
16,13
23,20
13,13
objects:20
60,50
60,50
60,50
30,100
30,100
30,100
40,30
40,30
40,30
60,100
60,100
60,100
60,100
30,60
30,60
30,60
30,60
30,120
30,120
30,120
