name:M3e
items:150
30,7
3,7
27,7
20,10
17,13
27,20
30,30
7,3
27,20
27,27
17,13
17,23
30,10
23,30
10,20
7,7
17,20
10,13
23,17
23,30
10,30
10,17
17,30
17,10
13,20
7,13
7,10
23,30
20,27
10,23
3,23
27,23
3,13
3,17
20,27
20,17
23,20
23,20
27,23
13,7
3,13
10,17
10,3
17,30
3,20
30,13
13,27
10,10
3,7
10,7
20,27
10,3
7,7
7,20
3,20
23,17
3,13
23,10
20,27
30,27
20,20
20,20
30,7
3,10
10,10
27,13
30,10
23,13
3,7
13,20
23,13
10,30
13,30
20,30
10,7
17,13
7,10
3,3
27,23
27,23
17,3
30,20
20,10
27,23
27,30
10,20
7,27
23,17
30,13
13,3
23,3
7,10
7,10
23,27
17,3
20,3
20,30
13,27
13,13
27,20
10,30
20,3
20,3
30,13
7,20
13,13
27,20
3,3
10,13
27,10
10,27
20,7
30,17
13,13
13,13
27,20
13,13
17,30
20,13
3,23
7,7
10,3
20,17
3,10
7,20
27,10
30,13
3,7
10,17
20,3
3,23
13,30
17,30
10,10
10,17
23,13
13,27
23,13
3,23
23,3
20,27
17,13
13,3
13,7
10,30
7,10
7,13
7,10
13,7
17,3
objects:20
60,50
60,50
60,50
30,100
30,100
30,100
40,30
40,30
40,30
60,100
60,100
60,100
60,100
30,60
30,60
30,60
30,60
30,120
30,120
30,120
